id,nom,latitude,longitude,departement
25650,Ville Du Pont,46.999873398,6.498147193,25
25640,Villers Grelot,47.361512085,6.235167025,25
25310,Villars Les Blamont,47.368383721,6.871414913,25
25240,Les Villedieu,46.713906258,6.26583065,25
25170,Villers Buzon,47.228558434,5.852186748,25
25510,Villers La Combe,47.240809828,6.473842387,25
25270,Villers Sous Chalamont,46.901588322,6.045328224,25
25420,Voujeaucourt,47.473552905,6.782505604,25
2860,Bouconville Vauclair,49.460193485,3.756684634,2
2400,Bouresches,49.067056293,3.316703204,2
2240,Brissy Hamegicourt,49.742857871,3.399923608,2
2810,Brumetz,49.110351585,3.153350725,2
2360,Brunehamel,49.771382057,4.186261479,2
2880,Bucy Le Long,49.387973822,3.398519722,2
2300,Caillouel Crepigny,49.617755672,3.121707969,2
2300,Camelin,49.52049848,3.127624347,2
2860,Cerny En Laonnois,49.450196586,3.679121433,2
2000,Chambry,49.598625529,3.671806573,2
2340,Chaourse,49.70058224,3.985961293,2
2800,Charmes,49.650915124,3.384799677,2
2200,Chaudun,49.315257363,3.252722944,2
2300,Chauny,49.619538899,3.219139283,2
2810,Chezy En Orxois,49.126870891,3.168015889,2
2000,Chivy Les Etouvelles,49.532848303,3.585053697,2
2220,Ciry Salsogne,49.367262408,3.467612315,2
2440,Clastres,49.749158544,3.230539083,2
2860,Montchalons,49.513778836,3.727459479,2
2860,Monthenault,49.489769799,3.655508134,2
2810,Montigny L Allier,49.122370638,3.107996308,2
2290,Montigny Lengrain,49.372578828,3.099063795,2
2220,Mont Notre Dame,49.292397628,3.582216807,2
2360,Mont St Jean,49.792702607,4.210227315,2
2210,Muret Et Crouttes,49.278626123,3.434628893,2
2400,Nesles La Montagne,48.999750332,3.44605178,2
2190,Neufchatel Sur Aisne,49.436580849,4.024031385,2
2170,Le Nouvion En Thierache,50.008566787,3.809358313,2
2300,Ognes,49.614542455,3.191108052,2
2190,Orainville,49.375881407,4.016154951,2
2290,Osly Courtil,49.399369702,3.237910386,2
2860,Pancy Courtecon,49.46035579,3.649818372,2
2260,Papleux,50.017614944,3.880061553,2
2210,Parcy Et Tigny,49.270195121,3.329041936,2
2840,Parfondru,49.538438581,3.703323738,2
2330,Pargny La Dhuys,48.954292173,3.563228277,2
2270,Pargny Les Bois,49.73198721,3.617572589,2
2240,Parpeville,49.794619132,3.564481061,2
2540,Viffort,48.957893106,3.469516322,2
2130,Villeneuve Sur Fere,49.170863583,3.4754559240000003,2
2590,Villers St Christophe,49.779716306,3.09133152,2
2500,Wimy,49.948014627,3.997490476,2
5800,St Firmin En Valgodemard,44.793514305,6.025693765,5
2250,Bosmont Sur Serre,49.739164547,3.866951038,2
2160,Bouffignereux,49.378528828,3.846143285,2
2300,Bourguignon Sous Coucy,49.543351686,3.154672717,2
2320,Brancourt En Laonnois,49.516508164,3.412722641,2
2000,Braye En Laonnois,49.437398745,3.609863828,2
2220,Brenelle,49.368284047,3.54436136,2
2870,Brie,49.597375488,3.473167317,2
2860,Bruyeres Et Montberault,49.524775786,3.669533869,2
2300,Camelin,49.52049848,3.127624347,2
2680,Castres,49.800742628,3.253372217,2
2000,Chaillevois,49.508011773,3.522228189,2
7190,Albon D Ardeche,44.814986241,4.42533053,7
2370,Chassemy,49.377956997,3.5022180460000003,2
2400,Chateau Thierry,49.056425662,3.381541175,2
7100,Annonay,45.24633989,4.651027131,7
