latitude,longitude,id,nom,siret,siren,adresse,code_postal,code_ape,milieu_pollué,secteur_na38,produitLabel,dateCreation,departement_id,
,,3012015,SOCIETE CARRIERES DE L'EST,42118530700046,421185307,"2, Chemin De La Sablière, Sandgrube Et Griesheimer Starsse",67870,0812Z,,BZ Industries extractives,,,67,
,,3012315,COGECAB,81532655800021,815326558,"Le Boucher Lambert, Chemin D'exploitation N 12",51110,3511Z,Air,"DZ Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",,,51,
,,3012390,EUROVIA LORRAINE,32585735700330,325857357,Lieudit La Cote St Martin,55100,4211Z,,FZ Construction,,,55,
,,3012472,HERMETHA,81503379000016,815033790,1 Rue Haute,55400,3521Z,,"DZ Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",,,55,
48.687104,6.197385,3012500,ESTIA RESEAUX DE CHALEUR,49790599200028,497905992,"35 Rue De La Bergamote, Chaufferies Plateau De Haye",54000,3530Z,Air,"DZ Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",,,54,
48.238608,5.893444,3012591,METHAVAIR SAS,82261715500012,822617155,951 Rue Reguenel,88800,8299Z,Sol,NZ Activités de services administratifs et de soutien,,,88,
,,3012596,AGRI GN VOGE,80849899200011,808498992,Route Departementale 460 - Sous Le Fort De Girancourt,88390,4120B,,FZ Construction,,,88,
,,3012598,SARL THIBAUT ENERGIE,51412046800012,514120468,195 Rue Des Fontaines,88700,3521Z,,"DZ Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",,,88,
,,3012601,SAS METHAFORT,81007106800011,810071068,Rue De Rappechamp,88320,3821Z,,"EZ Production et distribution d'eau, assainissement, gestion des déchets et dépollution",,,88,
,,3012653,REICHSTETT MATERIAUX,44450679400023,444506794,10 Allée De L'écoparc,67550,3832Z,,"EZ Production et distribution d'eau, assainissement, gestion des déchets et dépollution",,,67,
,,3012687,VALAUBIA,80475664100044,804756641,"11, Rue Joseph-marie Jacquard, Zi Des Près De Lyon (parcelles Am 540 Et 542 (ex Am199 B Et 525 C))",10600,3821Z,Air,"EZ Production et distribution d'eau, assainissement, gestion des déchets et dépollution",,,10,
,,3012705,KNAUF INSULATION LANNEMEZAN,49875276500038,498752765,Megazone Departementale,57970,2399Z,Air,CG Industrie des plastiques et autres produits non minéraux,,,57,
,,3012709,EUROVIA ALSACE LORRAINE,32585735700330,325857357,Site De Micheville,57390,4211Z,,FZ Construction,,,57,
47.875901,-3.546337,3012743,COGESTAR 3,50958034600013,509580346,"Centrale De Cogénération - Site De Mc Cain, Route Départementale 3",51510,3511Z,Air,"DZ Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",,,51,
,,3012798,SOLOCAP-MAB,82625007800035,826250078,"Zone D'activités De La Croisette, 164 Rue De La Fosse Bellier",88800,2592Z,,CH Métallurgie et fabrication de produits métalliques,,,88,
,,3012803,FELLMANN CARTONNAGES,42063938700026,420639387,2 Rue Henri Rouby,68360,1721B,,CC Bois et papier,,,68,
,,3012885,BIOHAYLEC,82088753700018,820887537,18 Rue De La Chapelle,88300,3511Z,,"DZ Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",,,88,
,,3012913,GCM,43296793300024,432967933,Ecoparc Rhénan,67550,4312A,,FZ Construction,,,67,
,,3012936,EV6 ENERGIE,82005176100014,820051761,9 Grande Rue,88170,3511Z,,"DZ Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",,,88,
,,3013023,EURL AGRI SOL APPRO,51374178500010,513741785,4 Rue Des Vignes,88260,3511Z,,"DZ Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",,,88,
,,3013071,AGRI NRJ SAS,82786481000011,827864810,540 Chemin De Chenimont,88270,3511Z,,"DZ Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",,,88,
,,3013105,COVED,34340353102296,343403531,"Zone Industrielle Sud, Rue De La Paix",68120,3811Z,,"EZ Production et distribution d'eau, assainissement, gestion des déchets et dépollution",,,68,
,,3013146,METEX NOOVISTA,42370310700015,423703107,Plate-forme De Carling Saint-avold,57500,7211Z,,MB Recherche et développement,,,57,
