etablissement,polluant
5100143,18
5100143,26
5100143,31
5100143,61
5100143,66
5100143,79
5100143,97
5100188,13
5100190,29
5100190,25
5100190,82
5100257,40
5100257,39
5100257,70
5100257,71
5100293,38
5100293,40
5100293,31
5100293,97
5100311,63
5100349,29
5100400,29
5100467,57
5100467,39
5100467,40
5100467,31
5100467,66
5100467,97
5100477,37
5100507,38
5100507,40
5100521,29
5100521,38
5100521,39
5100521,40
5100521,97
5100562,29
5100611,33
5100756,39
5100756,40
5100757,38
5100757,39
5100757,40
5100757,34
5100757,61
5100757,66
5100757,79
5100757,72
5100757,97
5100757,15
5100757,26
5100757,31
5100850,39
5100850,40
5100909,85
5100909,29
5100909,84
5100912,29
5100917,29
5100918,40
5100918,84
5100918,39
5100918,85
5100978,29
5100993,29
5101029,40
5101029,39
5101029,66
5101072,39
5101072,40
5101075,40
5101102,39
5101102,38
5101102,40
5101176,71
5101176,40
5101176,39
5101176,70
5101211,63
5101211,40
5101211,39
5101339,97
5101363,40
5101363,29
5101363,39
5101610,86
5101610,39
5101610,40
5101610,70
5101668,29
5101758,34
5101758,33
5101812,40
5101887,57
5101887,40
5101887,39
5101887,34
5101887,45
5101887,26
5101887,31
5101887,66
5101887,79
5101887,97
5101904,39
5101904,40
5101916,29
5101916,55
5101988,26
5101988,66
5102078,39
5102078,40
5102147,40
5102147,8
5102147,39
5102201,29
5102374,30
5102374,77
5102404,29
5102404,39
5102404,40
5102404,31
5102505,39
5102505,40
5102581,39
5102581,40
5102581,15
5102581,66
5102581,77
5102581,97
5102581,66
5102587,29
5102598,39
5102598,40
5103204,40
5103204,39
5103657,29
5103728,39
5103728,40
5200010,39
5200010,40
5200028,29
5200074,64
5200074,29
5200086,39
5200086,40
5200086,63
5200086,10
5200214,40
5200214,39
5200214,38
5200251,57
5200359,29
5200359,70
5200359,40
5200359,38
5200378,38
5200378,39
5200378,40
5200378,70
5200869,18
5201222,29
5201261,39
5201261,40
5201375,70
5201375,40
5201375,39
5201604,63
5201604,97
5201764,38
5201764,39
5201764,40
5201764,62
5201767,39
5201767,40
5201831,39
5201831,40
5201939,29
5202000,78
5202000,77
